案件番号,得意先名,物件名,資料リンク
469598,(株)オープンハウス・ディベロップメント,円阿弥207③1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={61b00725-cc02-4c66-bcb0-731c3f0540a8}
463203,(株)オープンハウス・ディベロップメント,下永谷201③3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={3300036a-dab8-4417-8034-d014bcee114e}
469192,(株)オープンハウス・ディベロップメント,国分寺新町202①,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={cde4f06f-d73a-4421-854a-692ce76b59a0}
468736,(株)オープンハウス・ディベロップメント,中国分313Ⅱ①,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={1f5f8179-8318-435c-b640-410a756ab49e}
458535,(株)オープンハウス・ディベロップメント,水元411②2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={ca48de38-5fb9-4912-8fb2-aca734309fd6}
469188,(株)オープンハウス・ディベロップメント,太田下田島町01566②1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={2017dac5-2685-4604-9845-193d401596e1}
469189,(株)オープンハウス・ディベロップメント,さいたま下落合222⑥5,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={040ab367-400a-4f19-a874-e54acb729b71}
469834,(株)オープンハウス・ディベロップメント,糸島高田420①,https://nskkogyo.sharepoint.com/:f:/s/kantou/EkRYZbEeT_NIsB8Dz8zoGIEBvj4PHWkBYFiAzdtz4kfelA
470727,(株)オープンハウス・ディベロップメント,小平天神町210②2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={3774c5bd-497d-4d91-b7dd-dd8055712e50}
473661,(株)オープンハウス・ディベロップメント,北袋町1229④1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={9ec4f1c8-8df7-438f-bcda-4227374022d3}
473672,(株)オープンハウス・ディベロップメント,湘南台516⑥3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={5cf18595-f1ee-438e-8ab6-767320461937}
452825,(株)オープンハウス・ディベロップメント,富浜302⑦4,https://nskkogyo.sharepoint.com/:f:/s/kantou/Ejy4XJGifgJPuZgPah18mLYBlpM2MIZ3JVnjptsWyANbzg?e=8sZcPb
470079,(株)オープンハウス・ディベロップメント,西東京中町517③3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={beb25eba-e1b3-4f41-9ce6-6013c4cc65be}
473666,(株)オープンハウス・ディベロップメント,西が丘118Ⅱ②借1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={6a64667a-5a60-424d-812a-2b653fc3c0ce}
473681,(株)オープンハウス・ディベロップメント,朝霞本町224③1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={72110b97-1422-4084-ae2b-569335f7d809}
453429,(株)オープンハウス・ディベロップメント,富浜302⑦5,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={f98b4a6b-feb7-4883-8812-d7798802e475}
472920,(株)オープンハウス・ディベロップメント,向小金2445①,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={831a6528-d300-4b52-b457-1baf7b560fa8}
473667,(株)オープンハウス・ディベロップメント,西が丘118Ⅱ②借2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={c09677d9-f3ed-401c-a05d-13fc59217ccd}
458530,(株)オープンハウス・ディベロップメント,水元411②1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={442e37a0-f9e0-40c7-934d-f25e8de0ec72}
470451,(株)オープンハウス・ディベロップメント,板付507Ⅱ②1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={968740b8-4626-47c4-9784-de62ec91c1f5}
470452,(株)オープンハウス・ディベロップメント,板付507Ⅱ②2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={763f3265-b6a6-4e75-8fa7-6026174f599e}
472412,(株)オープンハウス・ディベロップメント,太田新道町01338Ⅱ③1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={e568869d-5253-4dd0-ad8c-d2d31b9e437d}
